Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County
"37th Ave Grocery Deli Inc",-73.876869,40.75058,"9001 37th Ave","","Jackson Heights","NY","11372","7902","QUEENS" 
"Bimbo Bakeries 6002",-73.617645,40.748249,"225 Glen Cove Rd","","Carle Place","NY","11514","","NASSAU" 
"Target 1296",-74.372421,41.463181,"1 N Galleria Dr","Ste 1","Middletown","NY","10941","3016","ORANGE" 
"Anupam Inc",-73.587898,40.756378,"215 Post Ave","","Westbury","NY","11590","3019","NASSAU" 
"WALGREENS 10863",-76.584183,42.922527,"301 Genesee St","","Auburn","NY","13021","3230","CAYUGA" 
"Franklin Bergen Express Deli",-73.95565,40.676937,"631 Franklin Ave","","Brooklyn","NY","11238","3306","KINGS" 
"2039 Deli Inc",-73.904068,40.852215,"2039 Grand Concourse","","Bronx","NY","10453","4317","BRONX" 
"BOO&BEE",-78.898247,42.911461,"591 Fargo Ave","","Buffalo","NY","14213","2028","ERIE" 
"Silver Saddle Deli Grocery Inc",-73.94841,40.829487,"3635 Broadway","","New York","NY","10031","2518","NEW YORK" 
"R R & C  Food Corp",-73.901955,40.829914,"1223 Boston Rd","","Bronx","NY","10456","3601","BRONX" 
"Sun Vin Grocery Store Inc",-73.999146,40.716259,"75 Mulberry St","Frnt 1","New York","NY","10013","4492","NEW YORK" 
"WALGREENS 07776",-74.092384,40.586285,"1755 Hylan Blvd","","Staten Island","NY","10305","","RICHMOND" 
"WALGREENS 11427",-73.962036,40.625137,"1405 Avenue J","","Brooklyn","NY","11230","3701","KINGS" 
"Health Mart",-74.161133,41.335545,"48 Bakertown Rd","Unit 101","Monroe","NY","10950","8429","ORANGE" 
"WEGMANS 22",-77.612999,43.06863,"745 Calkins Rd","","Rochester","NY","14623","4435","MONROE" 
"DOLLAR TREE 3490",-73.478676,40.692406,"1328 Hicksville Rd","","N Massapequa","NY","11758","1219","NASSAU" 
"DOLLAR TREE 3647",-73.437241,40.678421,"5510 Sunrise Hwy","","Massapequa","NY","11758","5328","NASSAU" 
"DOLLAR TREE 3660",-73.568802,40.705524,"491 Bellmore Ave Ste B","","East Meadow","NY","11554","4706","NASSAU" 
